Model,MAE,RMSE,R2 Score
Linear Regression,1.0782379402444349,1.291835059834468,0.2668023240879117
Decision Tree,0.2294189284545736,0.35044730253738005,0.9460424292603725
Random Forest,0.22030172472672271,0.3372165345865284,0.9500397425243308
